2001,Northland,144400,Auckland,1218300,Waikato,368400,Bay of Plenty,246900,Gisborne,45500,Hawke's Bay,147300,Taranaki,105700,Manawatu-Wanganui,227500,Wellington,440200,Tasman,42400,Nelson,42900,Marlborough,40700,West Coast,31100,Canterbury,496700,Otago,188300,Southland,93300,North Island,2944300,South Island,935400,New Zealand,3880500,&
2006,Northland,152700,Auckland,1373000,Waikato,393200,Bay of Plenty,265300,Gisborne,46000,Hawke's Bay,152100,Taranaki,107300,Manawatu-Wanganui,229400,Wellington,466300,Tasman,45800,Nelson,44300,Marlborough,43600,West Coast,32100,Canterbury,540000,Otago,199800,Southland,93200,North Island,3185100,South Island,998800,New Zealand,4184600,@
2013,Northland,158700,Auckland,1529400,Waikato,418500,Bay of Plenty,278000,Gisborne,46700,Hawke's Bay,155000,Taranaki,110600,Manawatu-Wanganui,232700,Wellington,492500,Tasman,48600,Nelson,46800,Marlborough,45900,West Coast,32700,Canterbury,566100,Otago,213300,Southland,94800,North Island,3422200,South Island,1048300,New Zealand,4471100,#
